estado,municipio,bairros,ano,periodo,levantamento,timestamp,mosquito,longitude,latitude,zona,variable,value
AMAZONAS,MANAUS,CRESPO,2020,fevereiro,1,1/2/2020,Aegypti,-59.98832783232588,-3.131194146312211,SUL,iip,1.61
AMAZONAS,MANAUS,DA PAZ,2016,agosto,2,1/8/2016,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,0.0
AMAZONAS,MANAUS,DA PAZ,2017,outubro,2,1/10/2017,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,4.66
AMAZONAS,MANAUS,DA PAZ,2017,fevereiro,1,1/2/2017,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,3.97
AMAZONAS,MANAUS,DA PAZ,2018,outubro,2,1/10/2018,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,3.21
AMAZONAS,MANAUS,DA PAZ,2018,janeiro,1,1/1/2018,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,3.21
AMAZONAS,MANAUS,DA PAZ,2019,fevereiro,1,1/2/2019,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,2.55
AMAZONAS,MANAUS,DA PAZ,2019,novembro,2,1/11/2019,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,0.44
AMAZONAS,MANAUS,DA PAZ,2020,fevereiro,1,1/2/2020,Aegypti,-60.029433775908316,-3.0572537065395378,CENTRO-OESTE,iip,2.31
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2016,agosto,2,1/8/2016,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,0.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2017,outubro,2,1/10/2017,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,1.4
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2017,fevereiro,1,1/2/2017,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,1.28
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2018,outubro,2,1/10/2018,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,5.21
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2018,janeiro,1,1/1/2018,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,5.21
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2019,fevereiro,1,1/2/2019,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,0.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2019,novembro,2,1/11/2019,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,0.86
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL I,2020,fevereiro,1,1/2/2020,Aegypti,-59.96334083276656,-3.121244411933686,SUL,iip,3.13
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2016,agosto,2,1/8/2016,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,0.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2017,outubro,2,1/10/2017,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,0.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2017,fevereiro,1,1/2/2017,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,9.52
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2018,janeiro,1,1/1/2018,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,5.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2019,fevereiro,1,1/2/2019,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,0.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2019,novembro,2,1/11/2019,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,0.0
AMAZONAS,MANAUS,DISTRITO INDUSTRIAL II,2020,fevereiro,1,1/2/2020,Aegypti,-59.889006444205855,-3.036879291777444,LESTE,iip,0.0
AMAZONAS,MANAUS,DOM PEDRO I,2016,agosto,2,1/8/2016,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,0.85
AMAZONAS,MANAUS,DOM PEDRO I,2017,outubro,2,1/10/2017,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,1.48
AMAZONAS,MANAUS,DOM PEDRO I,2017,fevereiro,1,1/2/2017,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,5.0
AMAZONAS,MANAUS,DOM PEDRO I,2018,outubro,2,1/10/2018,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,1.98
AMAZONAS,MANAUS,DOM PEDRO I,2018,janeiro,1,1/1/2018,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,1.98
AMAZONAS,MANAUS,DOM PEDRO I,2019,fevereiro,1,1/2/2019,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,1.84
AMAZONAS,MANAUS,DOM PEDRO I,2019,novembro,2,1/11/2019,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,1.69
AMAZONAS,MANAUS,DOM PEDRO I,2020,fevereiro,1,1/2/2020,Aegypti,-60.04215899510356,-3.0871652438099266,CENTRO-OESTE,iip,1.02
AMAZONAS,MANAUS,EDUCANDOS,2016,agosto,2,1/8/2016,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,1.01
AMAZONAS,MANAUS,EDUCANDOS,2017,outubro,2,1/10/2017,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,0.4
AMAZONAS,MANAUS,EDUCANDOS,2017,fevereiro,1,1/2/2017,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,3.19
AMAZONAS,MANAUS,EDUCANDOS,2018,outubro,2,1/10/2018,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,1.12
AMAZONAS,MANAUS,EDUCANDOS,2018,janeiro,1,1/1/2018,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,1.12
AMAZONAS,MANAUS,EDUCANDOS,2019,fevereiro,1,1/2/2019,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,1.98
AMAZONAS,MANAUS,EDUCANDOS,2019,novembro,2,1/11/2019,Aegypti,-60.01128735091985,-3.141720731574834,SUL,iip,0.97
